Data	retencja	czy_pada 	dzien_tygodnia	podlewanie	dzienne_zuzycie	podlewanie	zuzycie_suma	stan_zbiornika	brakujaca_ilosc_wody	liczba_dni_w_ktorych_zabraklo
2/22/2022	93	1	2	0	190	0	190	0	97	1
2/23/2022	0	0	3	0	260	0	260	0	260	1
2/24/2022	0	0	4	0	190	0	190	0	190	1
2/25/2022	0	0	5	0	190	0	190	0	190	1
2/26/2022	228	1	6	0	190	0	190	38	0	0
2/27/2022	0	0	7	0	190	0	190	0	152	1
2/28/2022	84	1	1	0	190	0	190	0	106	1
3/1/2022	90	1	2	0	190	0	190	0	100	1
3/2/2022	0	0	3	0	260	0	260	0	260	1
3/3/2022	93	1	4	0	190	0	190	0	97	1
3/4/2022	1189	1	5	0	190	0	190	999	0	0
3/5/2022	139	1	6	0	190	0	190	948	0	0
3/6/2022	0	0	7	0	190	0	190	758	0	0
3/7/2022	0	0	1	0	190	0	190	568	0	0
3/8/2022	75	1	2	0	190	0	190	453	0	0
3/9/2022	612	1	3	0	260	0	260	805	0	0
3/10/2022	0	0	4	0	190	0	190	615	0	0
3/11/2022	137	1	5	0	190	0	190	562	0	0
3/12/2022	122	1	6	0	190	0	190	494	0	0
3/13/2022	0	0	7	0	190	0	190	304	0	0
3/14/2022	0	0	1	0	190	0	190	114	0	0
3/15/2022	88	1	2	0	190	0	190	12	0	0
3/16/2022	112	1	3	0	260	0	260	0	136	1
3/17/2022	82	1	4	0	190	0	190	0	108	1
3/18/2022	174	1	5	0	190	0	190	0	16	1
3/19/2022	279	1	6	0	190	0	190	89	0	0
3/20/2022	125	1	7	0	190	0	190	24	0	0
3/21/2022	123	1	1	0	190	0	190	0	43	1
3/22/2022	108	1	2	0	190	0	190	0	82	1
3/23/2022	0	0	3	0	260	0	260	0	260	1
3/24/2022	0	0	4	0	190	0	190	0	190	1
3/25/2022	0	0	5	0	190	0	190	0	190	1
3/26/2022	0	0	6	0	190	0	190	0	190	1
3/27/2022	0	0	7	0	190	0	190	0	190	1
3/28/2022	0	0	1	0	190	0	190	0	190	1
3/29/2022	0	0	2	0	190	0	190	0	190	1
3/30/2022	0	0	3	0	260	0	260	0	260	1
3/31/2022	207	1	4	0	190	0	190	17	0	0
4/1/2022	1299	1	5	0	190	0	190	1126	0	0
4/2/2022	218	1	6	0	190	0	190	1154	0	0
4/3/2022	0	0	7	1	190	0	190	964	0	0
4/4/2022	0	0	1	2	190	0	190	774	0	0
4/5/2022	0	0	2	3	190	0	190	584	0	0
4/6/2022	220	1	3	0	260	0	260	544	0	0
4/7/2022	72	1	4	0	190	0	190	426	0	0
4/8/2022	0	0	5	1	190	0	190	236	0	0
4/9/2022	0	0	6	2	190	0	190	46	0	0
4/10/2022	0	0	7	3	190	0	190	0	144	1
4/11/2022	0	0	1	4	190	0	190	0	190	1
4/12/2022	0	0	2	5	190	300	490	0	490	1
4/13/2022	205	1	3	0	260	0	260	0	55	1
4/14/2022	0	0	4	1	190	0	190	0	190	1
4/15/2022	436	1	5	0	190	0	190	246	0	0
4/16/2022	622	1	6	0	190	0	190	678	0	0
4/17/2022	34	1	7	0	190	0	190	522	0	0
4/18/2022	0	0	1	1	190	0	190	332	0	0
4/19/2022	0	0	2	2	190	0	190	142	0	0
4/20/2022	0	0	3	3	260	0	260	0	118	1
4/21/2022	0	0	4	4	190	0	190	0	190	1
4/22/2022	0	0	5	5	190	300	490	0	490	1
4/23/2022	0	0	6	1	190	0	190	0	190	1
4/24/2022	0	0	7	2	190	0	190	0	190	1
4/25/2022	0	0	1	3	190	0	190	0	190	1
4/26/2022	0	0	2	4	190	0	190	0	190	1
4/27/2022	0	0	3	5	260	300	560	0	560	1
4/28/2022	36	1	4	0	190	0	190	0	154	1
4/29/2022	542	1	5	0	190	0	190	352	0	0
4/30/2022	529	1	6	0	190	0	190	691	0	0
5/1/2022	890	1	7	0	190	0	190	1391	0	0
5/2/2022	609	1	1	0	190	0	190	1810	0	0
5/3/2022	79	1	2	0	190	0	190	1699	0	0
5/4/2022	0	0	3	1	260	0	260	1439	0	0
5/5/2022	0	0	4	2	190	0	190	1249	0	0
5/6/2022	0	0	5	3	190	0	190	1059	0	0
5/7/2022	0	0	6	4	190	0	190	869	0	0
5/8/2022	0	0	7	5	190	300	490	379	0	0
5/9/2022	0	0	1	1	190	0	190	189	0	0
5/10/2022	467	1	2	0	190	0	190	466	0	0
5/11/2022	234	1	3	0	260	0	260	440	0	0
5/12/2022	0	0	4	1	190	0	190	250	0	0
5/13/2022	0	0	5	2	190	0	190	60	0	0
5/14/2022	0	0	6	3	190	0	190	0	130	1
5/15/2022	0	0	7	4	190	0	190	0	190	1
5/16/2022	65	1	1	0	190	0	190	0	125	1
5/17/2022	781	1	2	0	190	0	190	591	0	0
5/18/2022	778	1	3	0	260	0	260	1109	0	0
5/19/2022	32	1	4	0	190	0	190	951	0	0
5/20/2022	0	0	5	1	190	0	190	761	0	0
5/21/2022	0	0	6	2	190	0	190	571	0	0
5/22/2022	0	0	7	3	190	0	190	381	0	0
5/23/2022	0	0	1	4	190	0	190	191	0	0
5/24/2022	0	0	2	5	190	300	490	0	299	1
5/25/2022	0	0	3	1	260	0	260	0	260	1
5/26/2022	0	0	4	2	190	0	190	0	190	1
5/27/2022	0	0	5	3	190	0	190	0	190	1
5/28/2022	0	0	6	4	190	0	190	0	190	1
5/29/2022	0	0	7	5	190	300	490	0	490	1
5/30/2022	0	0	1	1	190	0	190	0	190	1
5/31/2022	0	0	2	2	190	0	190	0	190	1
6/1/2022	0	0	3	3	260	0	260	0	260	1
6/2/2022	18	1	4	0	190	0	190	0	172	1
6/3/2022	525	1	5	0	190	0	190	335	0	0
6/4/2022	697	1	6	0	190	0	190	842	0	0
6/5/2022	786	1	7	0	190	0	190	1438	0	0
6/6/2022	792	1	1	0	190	0	190	2040	0	0
6/7/2022	0	0	2	1	190	0	190	1850	0	0
6/8/2022	0	0	3	2	260	0	260	1590	0	0
6/9/2022	0	0	4	3	190	0	190	1400	0	0
6/10/2022	0	0	5	4	190	0	190	1210	0	0
6/11/2022	0	0	6	5	190	300	490	720	0	0
6/12/2022	0	0	7	1	190	0	190	530	0	0
6/13/2022	0	0	1	2	190	0	190	340	0	0
6/14/2022	0	0	2	3	190	0	190	150	0	0
6/15/2022	0	0	3	4	260	0	260	0	110	1
6/16/2022	0	0	4	5	190	300	490	0	490	1
6/17/2022	998	1	5	0	190	0	190	808	0	0
6/18/2022	0	0	6	1	190	0	190	618	0	0
6/19/2022	0	0	7	2	190	0	190	428	0	0
6/20/2022	0	0	1	3	190	0	190	238	0	0
6/21/2022	0	0	2	4	190	0	190	48	0	0
6/22/2022	0	0	3	5	260	300	560	0	512	1
6/23/2022	0	0	4	1	190	0	190	0	190	1
6/24/2022	0	0	5	2	190	0	190	0	190	1
6/25/2022	0	0	6	3	190	0	190	0	190	1
6/26/2022	540	1	7	0	190	0	190	350	0	0
6/27/2022	607	1	1	0	190	0	190	767	0	0
6/28/2022	603	1	2	0	190	0	190	1180	0	0
6/29/2022	0	0	3	1	260	0	260	920	0	0
6/30/2022	0	0	4	2	190	0	190	730	0	0
7/1/2022	0	0	5	3	190	0	190	540	0	0
7/2/2022	0	0	6	4	190	0	190	350	0	0
7/3/2022	0	0	7	5	190	300	490	0	140	1
7/4/2022	0	0	1	1	190	0	190	0	190	1
7/5/2022	0	0	2	2	190	0	190	0	190	1
7/6/2022	527	1	3	0	260	0	260	267	0	0
7/7/2022	619	1	4	0	190	0	190	696	0	0
7/8/2022	0	0	5	1	190	0	190	506	0	0
7/9/2022	0	0	6	2	190	0	190	316	0	0
7/10/2022	0	0	7	3	190	0	190	126	0	0
7/11/2022	170	1	1	0	190	0	190	106	0	0
7/12/2022	13	1	2	0	190	0	190	0	71	1
7/13/2022	0	0	3	1	260	0	260	0	260	1
7/14/2022	0	0	4	2	190	0	190	0	190	1
7/15/2022	0	0	5	3	190	0	190	0	190	1
7/16/2022	0	0	6	4	190	0	190	0	190	1
7/17/2022	518	1	7	0	190	0	190	328	0	0
7/18/2022	791	1	1	0	190	0	190	929	0	0
7/19/2022	673	1	2	0	190	0	190	1412	0	0
7/20/2022	601	1	3	0	260	0	260	1753	0	0
7/21/2022	612	1	4	0	190	0	190	2175	0	0
7/22/2022	705	1	5	0	190	0	190	2690	0	0
7/23/2022	0	0	6	1	190	0	190	2500	0	0
7/24/2022	0	0	7	2	190	0	190	2310	0	0
7/25/2022	1100	1	1	0	190	0	190	3220	0	0
7/26/2022	118	1	2	0	190	0	190	3148	0	0
7/27/2022	69	1	3	0	260	0	260	2957	0	0
7/28/2022	0	0	4	1	190	0	190	2767	0	0
7/29/2022	0	0	5	2	190	0	190	2577	0	0
7/30/2022	0	0	6	3	190	0	190	2387	0	0
7/31/2022	0	0	7	4	190	0	190	2197	0	0
8/1/2022	0	0	1	5	190	300	490	1707	0	0
8/2/2022	0	0	2	1	190	0	190	1517	0	0
8/3/2022	0	0	3	2	260	0	260	1257	0	0
8/4/2022	0	0	4	3	190	0	190	1067	0	0
8/5/2022	0	0	5	4	190	0	190	877	0	0
8/6/2022	0	0	6	5	190	300	490	387	0	0
8/7/2022	0	0	7	1	190	0	190	197	0	0
8/8/2022	660	1	1	0	190	0	190	667	0	0
8/9/2022	1245	1	2	0	190	0	190	1722	0	0
8/10/2022	745	1	3	0	260	0	260	2207	0	0
8/11/2022	48	1	4	0	190	0	190	2065	0	0
8/12/2022	0	0	5	1	190	0	190	1875	0	0
8/13/2022	0	0	6	2	190	0	190	1685	0	0
8/14/2022	0	0	7	3	190	0	190	1495	0	0
8/15/2022	0	0	1	4	190	0	190	1305	0	0
8/16/2022	0	0	2	5	190	300	490	815	0	0
8/17/2022	0	0	3	1	260	0	260	555	0	0
8/18/2022	0	0	4	2	190	0	190	365	0	0
8/19/2022	0	0	5	3	190	0	190	175	0	0
8/20/2022	0	0	6	4	190	0	190	0	15	1
8/21/2022	0	0	7	5	190	300	490	0	490	1
8/22/2022	0	0	1	1	190	0	190	0	190	1
8/23/2022	0	0	2	2	190	0	190	0	190	1
8/24/2022	0	0	3	3	260	0	260	0	260	1
8/25/2022	0	0	4	4	190	0	190	0	190	1
8/26/2022	0	0	5	5	190	300	490	0	490	1
8/27/2022	0	0	6	1	190	0	190	0	190	1
8/28/2022	0	0	7	2	190	0	190	0	190	1
8/29/2022	0	0	1	3	190	0	190	0	190	1
8/30/2022	0	0	2	4	190	0	190	0	190	1
8/31/2022	0	0	3	5	260	300	560	0	560	1
9/1/2022	0	0	4	1	190	0	190	0	190	1
9/2/2022	388	1	5	0	190	0	190	198	0	0
9/3/2022	415	1	6	0	190	0	190	423	0	0
9/4/2022	560	1	7	0	190	0	190	793	0	0
9/5/2022	467	1	1	0	190	0	190	1070	0	0
9/6/2022	517	1	2	0	190	0	190	1397	0	0
9/7/2022	552	1	3	0	260	0	260	1689	0	0
9/8/2022	0	0	4	1	190	0	190	1499	0	0
9/9/2022	0	0	5	2	190	0	190	1309	0	0
9/10/2022	0	0	6	3	190	0	190	1119	0	0
9/11/2022	0	0	7	4	190	0	190	929	0	0
9/12/2022	435	1	1	0	190	0	190	1174	0	0
9/13/2022	406	1	2	0	190	0	190	1390	0	0
9/14/2022	0	0	3	1	260	0	260	1130	0	0
9/15/2022	0	0	4	2	190	0	190	940	0	0
9/16/2022	0	0	5	3	190	0	190	750	0	0
9/17/2022	0	0	6	4	190	0	190	560	0	0
9/18/2022	0	0	7	5	190	300	490	70	0	0
9/19/2022	353	1	1	0	190	0	190	233	0	0
9/20/2022	476	1	2	0	190	0	190	519	0	0
9/21/2022	383	1	3	0	260	0	260	642	0	0
9/22/2022	0	0	4	1	190	0	190	452	0	0
9/23/2022	0	0	5	2	190	0	190	262	0	0
9/24/2022	0	0	6	3	190	0	190	72	0	0
9/25/2022	0	0	7	4	190	0	190	0	118	1
9/26/2022	0	0	1	5	190	300	490	0	490	1
9/27/2022	0	0	2	1	190	0	190	0	190	1
9/28/2022	0	0	3	2	260	0	260	0	260	1
9/29/2022	302	1	4	0	190	0	190	112	0	0
9/30/2022	426	1	5	0	190	0	190	348	0	0
10/1/2022	456	1	6	0	190	0	190	614	0	0
10/2/2022	568	1	7	0	190	0	190	992	0	0
10/3/2022	1182	1	1	0	190	0	190	1984	0	0
10/4/2022	0	0	2	0	190	0	190	1794	0	0
10/5/2022	0	0	3	0	260	0	260	1534	0	0
10/6/2022	0	0	4	0	190	0	190	1344	0	0
10/7/2022	0	0	5	0	190	0	190	1154	0	0
10/8/2022	0	0	6	0	190	0	190	964	0	0
10/9/2022	0	0	7	0	190	0	190	774	0	0
10/10/2022	1170	1	1	0	190	0	190	1754	0	0
10/11/2022	695	1	2	0	190	0	190	2259	0	0
10/12/2022	644	1	3	0	260	0	260	2643	0	0
10/13/2022	0	0	4	0	190	0	190	2453	0	0
10/14/2022	0	0	5	0	190	0	190	2263	0	0
10/15/2022	0	0	6	0	190	0	190	2073	0	0
10/16/2022	0	0	7	0	190	0	190	1883	0	0
10/17/2022	0	0	1	0	190	0	190	1693	0	0
10/18/2022	0	0	2	0	190	0	190	1503	0	0
10/19/2022	0	0	3	0	260	0	260	1243	0	0
10/20/2022	0	0	4	0	190	0	190	1053	0	0
10/21/2022	0	0	5	0	190	0	190	863	0	0
10/22/2022	1084	1	6	0	190	0	190	1757	0	0
10/23/2022	1423	1	7	0	190	0	190	2990	0	0
10/24/2022	1315	1	1	0	190	0	190	4115	0	0
10/25/2022	717	1	2	0	190	0	190	4642	0	0
10/26/2022	1398	1	3	0	260	0	260	5780	0	0
10/27/2022	913	1	4	0	190	0	190	6503	0	0
10/28/2022	660	1	5	0	190	0	190	6973	0	0
10/29/2022	0	0	6	0	190	0	190	6783	0	0
10/30/2022	0	0	7	0	190	0	190	6593	0	0
10/31/2022	0	0	1	0	190	0	190	6403	0	0
11/1/2022	0	0	2	0	190	0	190	6213	0	0
11/2/2022	0	0	3	0	260	0	260	5953	0	0
11/3/2022	935	1	4	0	190	0	190	6698	0	0
11/4/2022	648	1	5	0	190	0	190	7156	0	0
11/5/2022	793	1	6	0	190	0	190	7759	0	0
11/6/2022	1276	1	7	0	190	0	190	8845	0	0
11/7/2022	1234	1	1	0	190	0	190	9889	0	0
11/8/2022	1302	1	2	0	190	0	190	11001	0	0
11/9/2022	1316	1	3	0	260	0	260	12057	0	0
11/10/2022	1463	1	4	0	190	0	190	13330	0	0
11/11/2022	771	1	5	0	190	0	190	13911	0	0
11/12/2022	0	0	6	0	190	0	190	13721	0	0
11/13/2022	0	0	7	0	190	0	190	13531	0	0
11/14/2022	0	0	1	0	190	0	190	13341	0	0
11/15/2022	0	0	2	0	190	0	190	13151	0	0
11/16/2022	0	0	3	0	260	0	260	12891	0	0
11/17/2022	0	0	4	0	190	0	190	12701	0	0
11/18/2022	0	0	5	0	190	0	190	12511	0	0
11/19/2022	816	1	6	0	190	0	190	13137	0	0
11/20/2022	734	1	7	0	190	0	190	13681	0	0
11/21/2022	1097	1	1	0	190	0	190	14588	0	0
11/22/2022	640	1	2	0	190	0	190	15038	0	0
11/23/2022	0	0	3	0	260	0	260	14778	0	0
11/24/2022	0	0	4	0	190	0	190	14588	0	0
11/25/2022	1066	1	5	0	190	0	190	15464	0	0
11/26/2022	670	1	6	0	190	0	190	15944	0	0
11/27/2022	0	0	7	0	190	0	190	15754	0	0
11/28/2022	0	0	1	0	190	0	190	15564	0	0
11/29/2022	0	0	2	0	190	0	190	15374	0	0
11/30/2022	0	0	3	0	260	0	260	15114	0	0
12/1/2022	0	0	4	0	190	0	190	14924	0	0
12/2/2022	0	0	5	0	190	0	190	14734	0	0
12/3/2022	0	0	6	0	190	0	190	14544	0	0
12/4/2022	0	0	7	0	190	0	190	14354	0	0
12/5/2022	29	1	1	0	190	0	190	14193	0	0
12/6/2022	46	1	2	0	190	0	190	14049	0	0
12/7/2022	0	0	3	0	260	0	260	13789	0	0
12/8/2022	0	0	4	0	190	0	190	13599	0	0
12/9/2022	0	0	5	0	190	0	190	13409	0	0
12/10/2022	0	0	6	0	190	0	190	13219	0	0
12/11/2022	0	0	7	0	190	0	190	13029	0	0
12/12/2022	0	0	1	0	190	0	190	12839	0	0
12/13/2022	145	1	2	0	190	0	190	12794	0	0
12/14/2022	0	0	3	0	260	0	260	12534	0	0
12/15/2022	0	0	4	0	190	0	190	12344	0	0
12/16/2022	24	1	5	0	190	0	190	12178	0	0
12/17/2022	0	0	6	0	190	0	190	11988	0	0
12/18/2022	0	0	7	0	190	0	190	11798	0	0
12/19/2022	45	1	1	0	190	0	190	11653	0	0
12/20/2022	97	1	2	0	190	0	190	11560	0	0
12/21/2022	0	0	3	0	260	0	260	11300	0	0
12/22/2022	22	1	4	0	190	0	190	11132	0	0
12/23/2022	0	0	5	0	190	0	190	10942	0	0
12/24/2022	0	0	6	0	190	0	190	10752	0	0
12/25/2022	0	0	7	0	190	0	190	10562	0	0
12/26/2022	135	1	1	0	190	0	190	10507	0	0
12/27/2022	0	0	2	0	190	0	190	10317	0	0
12/28/2022	153	1	3	0	260	0	260	10210	0	0
12/29/2022	0	0	4	0	190	0	190	10020	0	0
12/30/2022	0	0	5	0	190	0	190	9830	0	0
12/31/2022	144	1	6	0	190	0	190	9784	0	0
									19152	93
